sub_ID,classroom,experimenter,test_age,test,condition,order,training,carrot_condition,carrot_type,carrot_selection,carrot_target,carrot,hat_condition,hat_type,hat_selection,hat_target,hat,cookies_condition,cookies_type,cookies_selection,cookies_target,cookies,trains_condition,trains_type,trains_selection,trains_target,trains,cats_condition,cats_type,cats_selection,cats_target,cats,purses_condition,purses_type,purses_selection,purses_target,purses,keys_condition,keys_type,keys_selection,keys_target,keys,shirts_condition,shirts_type,shirts_selection,shirts_target,shirts,breads_condition,breads_type,breads_selection,breads_target,breads,horses_condition,horses_type,horses_selection,horses_target,horses,bears_condition,bears_type,bears_selection,bears_target,bears,frogs_condition,frogs_type,frogs_selection,frogs_target,frogs,plates_condition,plates_type,plates_selection,plates_target,plates,books_condition,books_type,books_selection,books_target,books,elephants_condition,elephants_type,elephants_selection,elephants_target,elephants,lamps_condition,lamps_type,lamps_selection,lamps_target,lamps,bananas_condition,bananas_type,bananas_selection,bananas_target,bananas,butterflies_condition,butterflies_type,butterflies_selection,butterflies_target,butterflies
070915_03,West PM,Tamara Mekler,3.89596167,SI,C,"SI, DCCS, Quantifier",1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,3,3,1,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,1,1,1
,West PM,Tamara Mekler,0,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West PM,Tamara Mekler,0,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071315_02,West PM,Tamara Mekler,3.463381246,SI,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,3,3,1,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,3,1,0,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,1,1,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1
071415_01,West PM,Tamara Mekler,3.885010267,SI,B,"Quantifier, DCCS, SI",1,none,control_none,3,1,0,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,2,3,0,some,implicature,2,2,1,none,control_none,3,1,0,all,control_all,2,2,1,none,control_none,3,1,0,some,implicature,1,1,1,all,control_all,3,3,1
071415_02,West PM,Tamara Mekler,4.678986995,SI,B,"Quantifier, DCCS, SI",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,3,3,1,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,1,2,0,none,control_none,1,1,1,all,control_all,2,2,1,none,control_none,1,1,1,some,implicature,2,1,0,all,control_all,3,3,1
071415_03,West PM,Tamara Mekler,4.410677618,SI,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,all,control_all,1,1,1,some,implicature,3,3,1,none,control_none,3,3,1,some,implicature,3,3,1,all,control_all,2,2,1,none,control_none,1,1,1
071415_04,West PM,Tamara Mekler,3.608487337,SI,B,"Quantifier, DCCS, SI",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,1,2,0,all,control_all,2,3,0,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,2,3,0
071415_05,West PM,Tamara Mekler,2.907597536,SI,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,3,1,0,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,1,1,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,1,3,0,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,3,2,0
071615_01,West PM,Tamara Mekler,4.481861739,SI,C,"Quantifier, DCCS, SI",1,some,implicature,2,2,1,none,control_none,2,3,0,all,control_all,3,3,1,none,control_none,3,1,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,2,1,0,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,1,1,1,some,implicature,3,3,3,none,control_none,1,3,0,some,implicature,3,3,1,all,control_all,2,2,1,none,control_none,2,1,0
071615_02,West PM,Tamara Mekler,4.646132786,SI,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,3,3,1,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,1,1,1
072015_01,West PM,Tamara Mekler,4.676249144,SI,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,1,1,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1
072015_02,West PM,Tamara Mekler,4.06844627,SI,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,3,1,0,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,1,1,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,1,3,0,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,3,2,0
072015_03,West PM,Tamara Mekler,4.804928131,SI,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,3,2,0,none,control_none,1,3,0,all,control_all,1,1,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,2,3,0,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0
072015_04,West PM,Tamara Mekler,3.518138261,SI,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,3,3,1,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,1,0,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,2,1,0,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,2,1,0,some,implicature,3,3,1,none,control_none,2,3,0,some,implicature,1,3,0,all,control_all,2,2,1,none,control_none,2,1,0
072015_05,West PM,Tamara Mekler,3.34017796,SI,B,"Quantifier, DCCS, SI",1,none,control_none,3,1,0,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,3,3,1
072015_06,West PM,Tamara Mekler,3.832991102,SI,B,"Quantifier, DCCS, SI",1,none,control_none,2,1,0,all,control_all,1,1,1,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,2,2,1,none,control_none,3,1,0,all,control_all,2,2,1,none,control_none,3,1,0,some,implicature,3,1,0,all,control_all,3,3,1
072015_07,West PM,Tamara Mekler,3.770020534,SI,B,"SI, DCCS, Quantifier",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,all,control_all,2,2,1,none,control_none,1,1,1,some,implicature,1,1,1,all,control_all,3,3,1
